"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone"
182,"182","EUCLID-CERRITOS",,"33.81082","-117.94130",,,,,
183,"183","EUCLID-PALAIS",,"33.81401","-117.94131",,,,,
184,"184","EUCLID-BALL",,"33.81862","-117.94131",,,,,
185,"185","EUCLID-CRONE",,"33.82203","-117.94132",,,,,
186,"186","EUCLID-ORANGE",,"33.82591","-117.94136",,,,,
187,"187","EUCLID-BROADWAY",,"33.82927","-117.94135",,,,,
189,"189","EUCLID-LINCOLN",,"33.83302","-117.94116",,,,,
190,"190","EUCLID-CRESCENT",,"33.84024","-117.94143",,,,,
191,"191","EUCLID-GLENOAKS",,"33.84323","-117.94152",,,,,
193,"193","EUCLID-LA PALMA",,"33.84744","-117.94155",,,,,
194,"194","EUCLID-ROMNEYA",,"33.85025","-117.94158",,,,,
195,"195","EUCLID-MEDICAL CENTER",,"33.85209","-117.94162",,,,,
196,"196","EUCLID-MEDICAL CENTER",,"33.85203","-117.94191",,,,,
197,"197","EUCLID-ROMNEYA",,"33.85023","-117.94191",,,,,
199,"199","EUCLID-LA PALMA",,"33.84632","-117.94184",,,,,
201,"201","EUCLID-GLENOAKS",,"33.84277","-117.94176",,,,,
202,"202","EUCLID-CRESCENT",,"33.84002","-117.94177",,,,,
203,"203","EUCLID-LINCOLN",,"33.83176","-117.94169",,,,,
204,"204","EUCLID-BROADWAY",,"33.82847","-117.94167",,,,,
205,"205","EUCLID-ORANGE",,"33.82535","-117.94156",,,,,
206,"206","EUCLID-CRONE",,"33.82133","-117.94163",,,,,
207,"207","EUCLID-BALL",,"33.81735","-117.94159",,,,,
208,"208","EUCLID-CHALET",,"33.81506","-117.94159",,,,,
209,"209","EUCLID-CERRITOS",,"33.81075","-117.94160",,,,,
210,"210","EUCLID-CRIS",,"33.80854","-117.94156",,,,,
211,"211","EUCLID-SALLIE",,"33.80513","-117.94160",,,,,
212,"212","HARBOR-CHAPMAN",,"33.78971","-117.91478",,,,,
213,"213","HARBOR-WILKEN",,"33.79336","-117.91488",,,,,
214,"214","HARBOR-ORANGEWOOD",,"33.79718","-117.91497",,,,,
215,"215","HARBOR-CONVENTION",,"33.80013","-117.91503",,,,,
216,"216","HARBOR-KATELLA",,"33.80383","-117.91514",,,,,
218,"218","HARBOR-EAST SHUTTLE AREA",,"33.80988","-117.91521",,,,,
219,"219","HARBOR-BALL",,"33.81853","-117.91509",,,,,
220,"220","HARBOR-VERMONT",,"33.82169","-117.91531",,,,,
221,"221","HARBOR-SOUTH",,"33.82522","-117.91648",,,,,
222,"222","HARBOR-WATER",,"33.82794","-117.91741",,,,,
223,"223","HARBOR-SANTA ANA",,"33.83019","-117.91812",,,,,
224,"224","HARBOR-BROADWAY",,"33.83174","-117.91863",,,,,
225,"225","HARBOR-LINCOLN",,"33.83363","-117.91915",,,,,
227,"227","HARBOR-SYCAMORE",,"33.83846","-117.92087",,,,,
229,"229","HARBOR-NORTH",,"33.84328","-117.92240",,,,,
231,"231","HARBOR-LA PALMA",,"33.84700","-117.92369",,,,,
232,"232","HARBOR-CARL KARCHER",,"33.85050","-117.92408",,,,,
233,"233","HARBOR-ROMNEYA",,"33.85104","-117.92436",,,,,
234,"234","HARBOR-LA PALMA",,"33.84741","-117.92401",,,,,
236,"236","HARBOR-NORTH",,"33.84308","-117.92261",,,,,
238,"238","HARBOR-SYCAMORE",,"33.83868","-117.92117",,,,,
240,"240","HARBOR-LINCOLN",,"33.83377","-117.91962",,,,,
241,"241","HARBOR-BROADWAY",,"33.83158","-117.91876",,,,,
242,"242","HARBOR-SANTA ANA",,"33.82994","-117.91833",,,,,
243,"243","HARBOR-WATER",,"33.82776","-117.91765",,,,,
244,"244","HARBOR-SOUTH",,"33.82510","-117.91674",,,,,
245,"245","HARBOR-VERMONT",,"33.82152","-117.91560",,,,,
246,"246","HARBOR-BALL",,"33.81875","-117.91544",,,,,
247,"247","HARBOR-EAST SHUTTLE AREA",,"33.80971","-117.91544",,,,,
250,"250","HARBOR-KATELLA",,"33.80284","-117.91551",,,,,
251,"251","HARBOR-CONVENTION",,"33.79896","-117.91539",,,,,
252,"252","HARBOR-ORANGEWOOD",,"33.79571","-117.91527",,,,,
253,"253","HARBOR-WILKEN",,"33.79252","-117.91519",,,,,
261,"261","JEFFERSON-TUSTIN",,"33.85869","-117.83712",,,,,
262,"262","KATELLA-EUCLID",,"33.80300","-117.94103",,,,,
263,"263","KATELLA-CARNELIAN",,"33.80303","-117.93761",,,,,
264,"264","KATELLA-9TH",,"33.80307","-117.93315",,,,,
265,"265","KATELLA-CASA VISTA",,"33.80312","-117.92721",,,,,
266,"266","KATELLA-WEST",,"33.80317","-117.92324",,,,,
267,"267","KATELLA-CONVENTION CENTER",,"33.80314","-117.91962",,,,,
268,"268","KATELLA-HARBOR",,"33.80314","-117.91479",,,,,
269,"269","KATELLA-CLEMENTINE",,"33.80315","-117.90960",,,,,
270,"270","KATELLA-HASTER",,"33.80314","-117.90548",,,,,
271,"271","KATELLA-LEWIS",,"33.80319","-117.89701",,,,,
273,"273","KATELLA-STATE COLLEGE",,"33.80319","-117.88871",,,,,
274,"274","KATELLA-HOWELL",,"33.80519","-117.88375",,,,,
275,"275","KATELLA-DOUGLASS",,"33.80592","-117.87718",,,,,
276,"276","KATELLA-DOUGLASS",,"33.80625","-117.87693",,,,,
277,"277","KATELLA-HOWELL",,"33.80549","-117.88389",,,,,
278,"278","KATELLA-STATE COLLEGE",,"33.80347","-117.88895",,,,,
279,"279","KATELLA-AUBURN",,"33.80346","-117.89385",,,,,
280,"280","KATELLA-LEWIS",,"33.80345","-117.89901",,,,,
281,"281","KATELLA-ANAHEIM",,"33.80349","-117.90717",,,,,
282,"282","KATELLA-CLEMENTINE",,"33.80348","-117.91131",,,,,
283,"283","KATELLA-HARBOR",,"33.80342","-117.91587",,,,,
284,"284","KATELLA-CONVENTION CENTER",,"33.80347","-117.91920",,,,,
285,"285","KATELLA-DISNEYLAND",,"33.80343","-117.92453",,,,,
286,"286","KATELLA-WALNUT",,"33.80334","-117.92878",,,,,
287,"287","KATELLA-9TH",,"33.80338","-117.93249",,,,,
288,"288","KATELLA-EUCLID",,"33.80330","-117.94234",,,,,
289,"289","KATELLA-HUMOR",,"33.80325","-117.94502",,,,,
290,"290","KATELLA-NUTWOOD",,"33.80326","-117.95039",,,,,
291,"291","KATELLA-DALLAS",,"33.80326","-117.95430",,,,,
292,"292","KATELLA-BROOKHURST",,"33.80324","-117.95913",,,,,
293,"293","KNOTT-THORNTON",,"33.81341","-118.01064",,,,,
294,"294","KNOTT-BALL",,"33.81786","-118.01069",,,,,
295,"295","KNOTT-ROME",,"33.82032","-118.01071",,,,,
296,"296","KNOTT-ORANGE",,"33.82490","-118.01076",,,,,
297,"297","KNOTT-DANBROOK",,"33.82801","-118.01080",,,,,
298,"298","KNOTT-DEL MONTE",,"33.82989","-118.01085",,,,,
299,"299","KNOTT-LINCOLN",,"33.83144","-118.01112",,,,,
300,"300","KNOTT-DEL MONTE",,"33.82930","-118.01110",,,,,
301,"301","KNOTT-OLINDA",,"33.82716","-118.01111",,,,,
302,"302","KNOTT-ORANGE",,"33.82419","-118.01104",,,,,
303,"303","KNOTT-SAVANNA",,"33.81958","-118.01100",,,,,
304,"304","KNOTT-BALL",,"33.81754","-118.01097",,,,,
305,"305","KNOTT-THORNTON",,"33.81352","-118.01085",,,,,
306,"306","KRAEMER-FRONTERA",,"33.84614","-117.85427",,,,,
307,"307","KRAEMER-LA PALMA",,"33.85225","-117.85750",,,,,
308,"308","KRAEMER-CORONADO",,"33.85496","-117.85849",,,,,
309,"309","KRAEMER-MIRALOMA",,"33.85873","-117.85985",,,,,
310,"310","KRAEMER-LA JOLLA",,"33.86184","-117.86109",,,,,
311,"311","KRAEMER-ORANGETHORPE",,"33.86540","-117.86245",,,,,
312,"312","KRAEMER-CROWTHER",,"33.86818","-117.86295",,,,,
313,"313","KRAEMER-CROWTHER",,"33.86806","-117.86321",,,,,
314,"314","KRAEMER-ORANGETHORPE",,"33.86462","-117.86244",,,,,
315,"315","KRAEMER-LA JOLLA",,"33.86128","-117.86116",,,,,
316,"316","KRAEMER-MIRALOMA",,"33.85771","-117.85987",,,,,
317,"317","KRAEMER-CORONADO",,"33.85420","-117.85859",,,,,
318,"318","KRAEMER-LA PALMA",,"33.85144","-117.85760",,,,,
319,"319","KRAEMER-FRONTERA",,"33.84591","-117.85446",,,,,
320,"320","KRAEMER PLACE-LA PALMA",,"33.85132","-117.85876",,,,,
321,"321","LA PALMA-MAGNOLIA",,"33.84670","-117.97580",,,,,
322,"322","LA PALMA-MAYFLOWER",,"33.84672","-117.97228",,,,,
323,"323","LA PALMA-GILBERT",,"33.84675","-117.96753",,,,,
324,"324","LA PALMA-BROOKHURST",,"33.84691","-117.95874",,,,,
325,"325","LA PALMA-FAIRVIEW",,"33.84689","-117.95198",,,,,
326,"326","LA PALMA-FAIRVIEW",,"33.84692","-117.94970",,,,,
327,"327","LA PALMA-ONONDAGA",,"33.84694","-117.94677",,,,,
328,"328","LA PALMA-EUCLID",,"33.84696","-117.94125",,,,,
329,"329","LA PALMA-LAGUNA",,"33.84702","-117.93527",,,,,
330,"330","LA PALMA-WEST",,"33.84703","-117.93158",,,,,
331,"331","LA PALMA-CITRON",,"33.84702","-117.92735",,,,,
332,"332","LA PALMA-HARBOR",,"33.84709","-117.92412",,,,,
333,"333","LA PALMA-LEMON",,"33.84712","-117.91941",,,,,
334,"334","LA PALMA-CLAUDINA",,"33.84713","-117.91693",,,,,
335,"335","LA PALMA-OLIVE",,"33.84717","-117.91335",,,,,
336,"336","LA PALMA-PAULINE",,"33.84718","-117.91086",,,,,
338,"338","LA PALMA-EAST",,"33.84715","-117.90515",,,,,
339,"339","LA PALMA-BUTTONWOOD",,"33.84717","-117.90078",,,,,
340,"340","LA PALMA-ANNA",,"33.84713","-117.89740",,,,,
341,"341","LA PALMA-BAXTER",,"33.84712","-117.89326",,,,,
342,"342","LA PALMA-STATE COLLEGE",,"33.84711","-117.88877",,,,,
343,"343","LA PALMA-WHITTIER",,"33.84715","-117.88476",,,,,
344,"344","LA PALMA-SUNKIST",,"33.84712","-117.87999",,,,,
345,"345","LA PALMA-CHANTILLY",,"33.84714","-117.87526",,,,,
346,"346","LA PALMA-BLUE GUM",,"33.84822","-117.86831",,,,,
347,"347","LA PALMA-RED GUM",,"33.84937","-117.86368",,,,,
348,"348","LA PALMA-KRAEMER",,"33.85111","-117.85683",,,,,
350,"350","LA PALMA-SHEPARD",,"33.85242","-117.85162",,,,,
352,"352","LA PALMA-MILLER",,"33.85371","-117.84658",,,,,
353,"353","LA PALMA-GROVE",,"33.85468","-117.84270",,,,,
354,"354","LA PALMA-PACIFIC CENTER",,"33.85550","-117.83882",,,,,
355,"355","LA PALMA-TUSTIN",,"33.85537","-117.83695",,,,,
356,"356","LA PALMA-HAWK",,"33.85575","-117.83363",,,,,
357,"357","LA PALMA-VAN BUREN",,"33.85810","-117.83084",,,,,
358,"358","LA PALMA-RICHFIELD",,"33.85928","-117.82618",,,,,
359,"359","LA PALMA-FEE ANA",,"33.85925","-117.82300",,,,,
360,"360","LA PALMA-LAKEVIEW",,"33.85925","-117.81778",,,,,
361,"361","LA PALMA-MANASSERO",,"33.85931","-117.81187",,,,,
362,"362","LA PALMA-KELLOGG",,"33.85933","-117.80625",,,,,
363,"363","LA PALMA-BRASHER",,"33.85937","-117.79919",,,,,
364,"364","LA PALMA-WESCOM CORPORATE CENTER",,"33.85969","-117.79360",,,,,
365,"365","LA PALMA-IMPERIAL",,"33.85952","-117.78986",,,,,
366,"366","LA PALMA-EMOGENE",,"33.86834","-117.77130",,,,,
367,"367","LA PALMA-POTOMAC",,"33.87028","-117.76803",,,,,
369,"369","LA PALMA-LYNWOOD",,"33.87249","-117.76007",,,,,
370,"370","LA PALMA-YORBA LINDA",,"33.87459","-117.75134",,,,,
371,"371","LA PALMA-JENIFER",,"33.87354","-117.75615",,,,,
373,"373","LA PALMA-MARK",,"33.87107","-117.76632",,,,,
374,"374","LA PALMA-POTOMAC",,"33.87008","-117.76972",,,,,
375,"375","LA PALMA-EMOGENE",,"33.86821","-117.77187",,,,,
376,"376","LA PALMA-HONDO",,"33.86330","-117.77636",,,,,
377,"377","LA PALMA-ENT 5815 FRIENDLY VILLAGE",,"33.85978","-117.78882",,,,,
378,"378","LA PALMA-IMPERIAL",,"33.85986","-117.79128",,,,,
379,"379","LA PALMA-WESCOM CORPORATE CENTER",,"33.85999","-117.79467",,,,,
380,"380","LA PALMA-BRASHER",,"33.85962","-117.79947",,,,,
381,"381","LA PALMA-KELLOGG",,"33.85959","-117.80704",,,,,
382,"382","LA PALMA-MANASSERO",,"33.85957","-117.81208",,,,,
383,"383","LA PALMA-LAKEVIEW",,"33.85959","-117.81898",,,,,
384,"384","LA PALMA-FEE ANA",,"33.85950","-117.82310",,,,,
385,"385","LA PALMA-RICHFIELD",,"33.85949","-117.82651",,,,,
386,"386","LA PALMA-VAN BUREN",,"33.85816","-117.83118",,,,,
387,"387","LA PALMA-HAWK",,"33.85626","-117.83323",,,,,
388,"388","LA PALMA-TUSTIN",,"33.85563","-117.83785",,,,,
