"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
143,"SA",4249499,,,"14341","3202"
143,"SA",4249500,,,"14342","3203"
143,"SA",4249501,,,"14342","3202"
143,"SA",4249502,,,"14341","3203"
143,"SA",4249503,,,"14342","3202"
143,"SA",4249504,,,"14341","3203"
143,"SA",4249505,,,"14342","3202"
143,"SA",4249506,,,"14341","3203"
143,"SA",4249507,,,"14341","3202"
143,"SA",4249508,,,"14342","3203"
143,"SA",4249509,,,"14341","3202"
143,"SA",4249510,,,"14342","3203"
143,"SA",4249511,,,"14341","3202"
143,"SA",4249512,,,"14342","3203"
143,"SA",4249513,,,"14341","3202"
143,"SA",4249514,,,"14342","3203"
143,"SA",4249515,,,"14342","3202"
143,"SA",4249516,,,"14341","3203"
143,"SA",4249517,,,"14342","3202"
143,"SA",4249518,,,"14341","3203"
143,"SA",4249519,,,"14342","3202"
143,"SA",4249520,,,"14341","3203"
143,"SA",4249521,,,"14341","3203"
143,"SA",4249522,,,"14342","3202"
143,"SA",4249523,,,"14342","3203"
143,"SA",4249524,,,"14341","3202"
143,"SA",4249525,,,"14342","3202"
143,"SA",4249526,,,"14341","3203"
143,"SU",4269251,,,"2943","3212"
143,"SU",4269252,,,"14341","3203"
143,"SU",4269253,,,"14341","3202"
143,"SU",4269254,,,"14341","3203"
143,"SU",4269255,,,"14341","3202"
143,"SU",4269256,,,"14341","3203"
143,"SU",4269257,,,"14341","3202"
143,"SU",4269258,,,"14341","3203"
143,"SU",4269259,,,"14341","3202"
143,"SU",4269260,,,"14341","3203"
143,"SU",4269261,,,"14341","3202"
143,"SU",4269262,,,"14341","3203"
143,"SU",4269263,,,"14341","3202"
143,"SU",4269264,,,"14341","3203"
143,"SU",4269265,,,"14341","3202"
143,"SU",4269266,,,"5748","3203"
143,"SU",4269269,,,"14342","3203"
143,"SU",4269270,,,"14342","3202"
143,"SU",4269271,,,"14342","3203"
143,"SU",4269272,,,"14342","3202"
143,"SU",4269273,,,"14342","3203"
143,"SU",4269274,,,"14342","3202"
143,"SU",4269275,,,"14342","3203"
143,"SU",4269276,,,"14342","3202"
143,"SU",4269277,,,"14342","3203"
143,"SU",4269278,,,"14342","3202"
143,"SU",4269279,,,"14342","3203"
143,"SU",4269280,,,"14342","3202"
143,"SU",4269281,,,"14342","3203"
143,"SU",4269282,,,"14342","3202"
143,"SU",4269283,,,"14342","3203"
143,"WD",4254641,,,"14332","3203"
143,"WD",4254642,,,"14332","3202"
143,"WD",4254643,,,"14332","3203"
143,"WD",4254644,,,"14332","3202"
143,"WD",4254645,,,"14332","3203"
143,"WD",4254646,,,"14332","3202"
143,"WD",4254647,,,"14332","3203"
143,"WD",4254648,,,"14332","3202"
143,"WD",4254649,,,"14332","3203"
143,"WD",4254650,,,"14332","3202"
143,"WD",4254651,,,"14332","3203"
143,"WD",4254652,,,"14332","3202"
143,"WD",4254653,,,"14332","3203"
143,"WD",4254654,,,"14332","3202"
143,"WD",4254655,,,"14332","3203"
143,"WD",4254657,,,"14331","3202"
